spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
lighting,well-lit environment,enhance visibility,positive,201510_114.0103691_22.594331799999996.png
highway,sense of order,navigate easily,positive,201510_114.03380288280603_22.517278014240983.png
barriers,sense of safety,follow rules,positive,201510_114.03380288280603_22.517278014240983.png
streetlights,sense of security,travel at night,positive,201510_114.03380288280603_22.517278014240983.png
road markings,clarity in navigation,drive confidently,positive,201510_114.03380288280603_22.517278014240983.png
highway,sense of order,navigate efficiently,positive,201510_114.1179575_22.6653098.png
buildings,sense of place,engage with environment,positive,201510_114.1179575_22.6653098.png
landscape,complexity,explore surroundings,neutral,201510_114.1179575_22.6653098.png
highway,sense of order,ease of navigation,positive,201510_114.09133879686222_22.646343048669696.png
lanes,predictability,following traffic rules,positive,201510_114.09133879686222_22.646343048669696.png
barriers,safety,confidence in driving,positive,201510_114.09133879686222_22.646343048669696.png
streetlights,visibility,increased awareness,positive,201510_114.09133879686222_22.646343048669696.png
trees,aesthetic appeal,enjoyment of surroundings,positive,201510_114.09133879686222_22.646343048669696.png
vegetation,organized environment,appreciation of design,positive,201510_114.09133879686222_22.646343048669696.png
buildings,sense of structure,easier navigation,positive,201510_114.12311478463587_22.540428499015647.png
roads,organized layout,improved orientation,positive,201510_114.12311478463587_22.540428499015647.png
infrastructure,clear division,enhanced understanding,positive,201510_114.12311478463587_22.540428499015647.png
vehicles,lack of organization,confusion in navigation,negative,201510_114.10067960000002_22.6565825.png
trees,disorderly appearance,distraction from surroundings,negative,201510_114.10067960000002_22.6565825.png
buildings,chaotic layout,hesitation to explore,negative,201510_114.10067960000002_22.6565825.png
road,some direction,encouragement to move,neutral,201510_114.10067960000002_22.6565825.png
highway,easy to understand,navigate effectively,positive,201510_114.1209625_22.664945200000002.png
lanes,clear organization,follow traffic rules,positive,201510_114.1209625_22.664945200000002.png
barriers,predictable pattern,feel secure,positive,201510_114.1209625_22.664945200000002.png
trees,aesthetic appeal,enjoy surroundings,positive,201510_114.1209625_22.664945200000002.png
highway,sense of order,navigate effectively,positive,201510_114.12840565481605_22.662909228804207.png
traffic,feeling of incoherence,hesitate or slow down,negative,201510_114.12840565481605_22.662909228804207.png
urban,lack of coherence,avoid or disengage,negative,201510_114.12840565481605_22.662909228804207.png
highway,sense of coherence,understanding the environment,positive,201510_114.14203573628855_22.638772522441887.png
lanes,visual order,navigating traffic,positive,201510_114.14203573628855_22.638772522441887.png
signage,predictability,following directions,positive,201510_114.14203573628855_22.638772522441887.png
guardrails,sense of safety,driving confidently,positive,201510_114.14203573628855_22.638772522441887.png
roads,organized appearance,navigate efficiently,positive,201510_114.141854_22.6526184.png
traffic,functional infrastructure,follow traffic rules,neutral,201510_114.141854_22.6526184.png
buildings,lack of aesthetic order,utilize commercial space,negative,201510_114.141854_22.6526184.png
streetlights,sense of safety,move confidently at night,positive,201510_114.141854_22.6526184.png
signs,clarity in navigation,make informed decisions,positive,201510_114.141854_22.6526184.png
bridge,sense of order,navigate confidently,positive,201511_113.77301714570748_22.65521850478275.png
road,easy comprehension,follow directions,positive,201511_113.77301714570748_22.65521850478275.png
road,sense of order,easier navigation,positive,201510_114.1519723_22.629348399999998.png
buildings,structured environment,increased comfort,positive,201510_114.1519723_22.629348399999998.png
highway,low sense of order,detracts from coherence,negative,201510_114.1548433_22.612801099999995.png
barrier,low sense of order,detracts from coherence,negative,201510_114.1548433_22.612801099999995.png
buildings,low sense of order,detracts from coherence,negative,201510_114.1548433_22.612801099999995.png
construction,low sense of order,detracts from coherence,negative,201510_114.1548433_22.612801099999995.png
road,sense of order,navigate effectively,positive,201511_113.77791411965266_22.647425541351954.png
sea,lower coherence,feel disoriented,negative,201511_113.77791411965266_22.647425541351954.png
sky,lower coherence,feel disoriented,negative,201511_113.77791411965266_22.647425541351954.png
landmasses,lower coherence,feel disoriented,negative,201511_113.77791411965266_22.647425541351954.png
highway,clear organization,ease of navigation,positive,201511_113.78989593872954_22.626797290819933.png
guardrails,sense of safety,confidence in travel,positive,201511_113.78989593872954_22.626797290819933.png
lampposts,structured environment,increased visibility,positive,201511_113.78989593872954_22.626797290819933.png
road,simplicity,quick decision-making,positive,201511_113.78989593872954_22.626797290819933.png
sea,limited visual stimulation,reduced exploration,negative,201511_113.78989593872954_22.626797290819933.png
highway,sense of order,navigate efficiently,positive,201511_113.77595173381438_22.6505407676531.png
bridge,clarity and structure,cross safely,positive,201511_113.77595173381438_22.6505407676531.png
railings,predictability,feel secure,positive,201511_113.77595173381438_22.6505407676531.png
light poles,organization,move confidently,positive,201511_113.77595173381438_22.6505407676531.png
land,vastness,explore surroundings,positive,201511_113.77595173381438_22.6505407676531.png
sea,tranquility,reflect and relax,positive,201511_113.77595173381438_22.6505407676531.png
highway,sense of predictable organization,navigate confidently,positive,201511_113.79198277958976_22.623752718711486.png
railings,sense of orderliness,feel secure,positive,201511_113.79198277958976_22.623752718711486.png
lampposts,sense of coherence,enhance visibility,positive,201511_113.79198277958976_22.623752718711486.png
horizon,stable visual anchor,provide orientation,positive,201511_113.79198277958976_22.623752718711486.png
lanes,sense of stability,navigate confidently,positive,201511_113.79302905059284_22.6222321167968.png
railings,sense of order,feel secure,positive,201511_113.79302905059284_22.6222321167968.png
bridge,predictable environment,cross safely,positive,201511_113.79302905059284_22.6222321167968.png
roads,sense of organization,navigate effectively,positive,201511_113.8926971_22.590370800000002.png
park,feeling of relaxation,spend leisure time,positive,201511_113.8926971_22.590370800000002.png
trees,enhanced aesthetic appeal,enjoy the scenery,positive,201511_113.8926971_22.590370800000002.png
buildings,sense of coherence,understand city layout,positive,201511_113.8926971_22.590370800000002.png
tunnel,strong sense of coherence,easier navigation,positive,201511_113.98640311723084_22.573708649761702.png
markings,predictable environment,increased comfort,positive,201511_113.98640311723084_22.573708649761702.png
lights,understandable space,enhanced safety,positive,201511_113.98640311723084_22.573708649761702.png
paneling,organized perception,reduced anxiety,positive,201511_113.98640311723084_22.573708649761702.png
buildings,lack of coherence,feeling disoriented,negative,201601_113.86947380000001_22.5787381.png
infrastructure,sense of disorder,difficulty in navigation,negative,201601_113.86947380000001_22.5787381.png
structures,inconsistent organization,lack of engagement,negative,201601_113.86947380000001_22.5787381.png
roads,unevenness,hesitation to walk,negative,201601_113.86947380000001_22.5787381.png
wires,visual clutter,avoidance of areas,negative,201601_113.86947380000001_22.5787381.png
driveway,somewhat organized,navigate space,positive,201601_113.8995009_22.486923499999996.png
parking,somewhat organized,park vehicles,positive,201601_113.8995009_22.486923499999996.png
buildings,disjointed impression,explore area,negative,201601_113.8995009_22.486923499999996.png
elements,varied architectural styles,evaluate aesthetics,neutral,201601_113.8995009_22.486923499999996.png
highway,clear organizational structure,navigate efficiently,positive,201511_114.04964800000002_22.6558579.png
trees,natural order,enjoy nature,positive,201511_114.04964800000002_22.6558579.png
hills,natural order,enjoy nature,positive,201511_114.04964800000002_22.6558579.png
urban structures,not unified,confusion,negative,201511_114.04964800000002_22.6558579.png
highway,sense of order,predictable navigation,positive,201601_113.91229911214752_22.579411857320917.png
lanes,sense of order,predictable navigation,positive,201601_113.91229911214752_22.579411857320917.png
barriers,sense of order,predictable navigation,positive,201601_113.91229911214752_22.579411857320917.png
vehicles,functional impression,efficient travel,neutral,201601_113.91229911214752_22.579411857320917.png
infrastructure,functional impression,efficient travel,neutral,201601_113.91229911214752_22.579411857320917.png
elements,somewhat integrated,limited engagement,negative,201601_113.91229911214752_22.579411857320917.png
highway,somewhat low coherence,fragmented visual experience,negative,201601_113.91355756883638_22.578036885096644.png
lanes,sense of order,easy understanding,positive,201601_113.91355756883638_22.578036885096644.png
barriers,sense of organization,navigation,positive,201601_113.91355756883638_22.578036885096644.png
natural elements,fragmented experience,distraction,negative,201601_113.91355756883638_22.578036885096644.png
urban structures,distant integration,lack of connection,negative,201601_113.91355756883638_22.578036885096644.png
landscape,sense of order,easier navigation,positive,201601_113.9126736_22.526134499999994.png
roads,predictability,increased confidence in movement,positive,201601_113.9126736_22.526134499999994.png
buildings,logical organization,enhanced understanding of space,positive,201601_113.9126736_22.526134499999994.png
infrastructure,functional system,encouraged use of space,positive,201601_113.9126736_22.526134499999994.png
signals,well-planned,promoted safety,positive,201601_113.9126736_22.526134499999994.png
crossings,ease of movement,facilitated pedestrian flow,positive,201601_113.9126736_22.526134499999994.png
styles,consistency,fostered familiarity,positive,201601_113.9126736_22.526134499999994.png
layout,clarity,supported orientation,positive,201601_113.9126736_22.526134499999994.png
environment,sense of disarray,lack of engagement,negative,201601_113.91049880000001_22.526025000000004.png
structures,lack of coherence,confusion,negative,201601_113.91049880000001_22.526025000000004.png
construction,disorganization,avoidance,negative,201601_113.91049880000001_22.526025000000004.png
layout,functional but unclear,hesitation,neutral,201601_113.91049880000001_22.526025000000004.png
buildings,sense of coherence,navigate effectively,positive,201601_113.8745102_22.5675937.png
road,functional order,follow traffic rules,positive,201601_113.8745102_22.5675937.png
signals,clarity in movement,make informed decisions,positive,201601_113.8745102_22.5675937.png
crossings,safety awareness,cross streets cautiously,positive,201601_113.8745102_22.5675937.png
highway,sense of order,navigate efficiently,positive,201601_113.914816_22.576661899999998.png
greenery,visual variety,enjoy surroundings,positive,201601_113.914816_22.576661899999998.png
road,predictability,follow expected paths,positive,201601_113.914816_22.576661899999998.png
guardrails,sense of safety,drive with confidence,positive,201601_113.914816_22.576661899999998.png
lane markings,clear guidance,maintain lane discipline,positive,201601_113.914816_22.576661899999998.png
intersection,sense of order,ease of navigation,positive,201601_113.916563_22.5275247.png
markings,clarity in movement,following paths,positive,201601_113.916563_22.5275247.png
signs,understanding of rules,compliance with traffic,positive,201601_113.916563_22.5275247.png
barriers,sense of safety,cautious behavior,positive,201601_113.916563_22.5275247.png
buildings,organized environment,comfort in surroundings,positive,201601_113.916563_22.5275247.png
roads,sense of order,navigate easily,positive,201601_113.919263_22.527063600000005.png
buildings,structured environment,understand layout,positive,201601_113.919263_22.527063600000005.png
signs,clarity in navigation,follow traffic rules,positive,201601_113.919263_22.527063600000005.png
barriers,managed traffic flow,move safely,positive,201601_113.919263_22.527063600000005.png
road,sense of order,understanding organization,positive,201601_113.9205707480704_22.555670959071687.png
greenery,sense of coherence,appreciating environment,positive,201601_113.9205707480704_22.555670959071687.png
buildings,predictable layout,navigating space,positive,201601_113.9205707480704_22.555670959071687.png
lanes,clear separation,following traffic rules,positive,201601_113.9205707480704_22.555670959071687.png
highway,sense of predictability,navigating efficiently,positive,201601_113.9234574_22.5680999.png
lanes,sense of orderliness,following traffic rules,positive,201601_113.9234574_22.5680999.png
markings,sense of comprehensibility,making informed decisions,positive,201601_113.9234574_22.5680999.png
guardrails,sense of safety,driving with caution,positive,201601_113.9234574_22.5680999.png
streetlights,sense of visibility,driving at night,positive,201601_113.9234574_22.5680999.png
highways,sense of coherence,easier navigation,positive,201601_113.94190116296602_22.56502110885344.png
signage,clear understanding,following directions,positive,201601_113.94190116296602_22.56502110885344.png
infrastructure,predictability,confidence in environment,positive,201601_113.94190116296602_22.56502110885344.png
intersection,sense of order,navigate safely,positive,201601_113.9367483_22.5688907.png
road,organized environment,follow traffic rules,positive,201601_113.9367483_22.5688907.png
walkway,clear separation,walk comfortably,positive,201601_113.9367483_22.5688907.png
vehicles,designated places,park appropriately,positive,201601_113.9367483_22.5688907.png
highway,sense of order,efficient movement,positive,201601_113.95155518756962_22.564048622776014.png
lanes,well-defined structure,organized flow,positive,201601_113.95155518756962_22.564048622776014.png
signage,sense of organization,navigation,positive,201601_113.95155518756962_22.564048622776014.png
infrastructure,structured environment,facilitated movement,positive,201601_113.95155518756962_22.564048622776014.png
road,sense of order,navigate efficiently,positive,201601_113.9317428_22.566182099999995.png
trees,calming effect,enjoy the environment,positive,201601_113.9317428_22.566182099999995.png
buildings,structured environment,engage with urban life,positive,201601_113.9317428_22.566182099999995.png
lanes,predictability,follow traffic rules,positive,201601_113.9317428_22.566182099999995.png
barriers,sense of safety,move confidently,positive,201601_113.9317428_22.566182099999995.png
intersection,sense of order,navigate safely,positive,201601_113.95563_22.5731096.png
buildings,easy to comprehend,move efficiently,positive,201601_113.95563_22.5731096.png
streets,predictability,plan routes,positive,201601_113.95563_22.5731096.png
roads,sense of order,navigate easily,positive,201601_113.95629671057142_22.55635424112815.png
sidewalks,sense of order,walk comfortably,positive,201601_113.95629671057142_22.55635424112815.png
buildings,high degree of coherence,engage with environment,positive,201601_113.95629671057142_22.55635424112815.png
traffic,clear urban layout,move through space,positive,201601_113.95629671057142_22.55635424112815.png
greenery,enhanced aesthetic,enjoy surroundings,positive,201601_113.95629671057142_22.55635424112815.png
pedestrian bridges,sense of connectivity,cross safely,positive,201601_113.95629671057142_22.55635424112815.png
highway,strong sense of order,feel coherent,positive,201601_113.96491421191537_22.561488858722452.png
lanes,sense of structured planning,navigate effectively,positive,201601_113.96491421191537_22.561488858722452.png
barriers,sense of safety,drive confidently,positive,201601_113.96491421191537_22.561488858722452.png
markings,clarity in navigation,follow road rules,positive,201601_113.96491421191537_22.561488858722452.png
development,coherent environment,engage with surroundings,positive,201601_113.96491421191537_22.561488858722452.png
highway,sense of order and predictability,easy navigation,positive,201601_113.96020570251964_22.5625587290877.png
markings,clarity,following traffic rules,positive,201601_113.96020570251964_22.5625587290877.png
barriers,safety,increased caution,positive,201601_113.96020570251964_22.5625587290877.png
design,organized structure,predictable driving,positive,201601_113.96020570251964_22.5625587290877.png
road,sense of organization,navigate easily,positive,201601_113.97008539292004_22.522714847349917.png
trees,sense of order,appreciate environment,positive,201601_113.97008539292004_22.522714847349917.png
buildings,understanding of structure,explore area,positive,201601_113.97008539292004_22.522714847349917.png
road,lack of natural integration,disengagement from space,negative,201601_113.9681430570524_22.522693926658068.png
infrastructure,weak sense of order,confusion in navigation,negative,201601_113.9681430570524_22.522693926658068.png
greenery,inadequate harmony,reduced enjoyment of space,negative,201601_113.9681430570524_22.522693926658068.png
highway,sense of predictability,ease of navigation,positive,201601_113.96620072476264_22.522672982541344.png
greenery,sense of order,enhanced comfort,positive,201601_113.96620072476264_22.522672982541344.png
lanes,clear organization,confident driving,positive,201601_113.96620072476264_22.522672982541344.png
markings,visual clarity,safe navigation,positive,201601_113.96620072476264_22.522672982541344.png
infrastructure,sense of security,reduced anxiety,positive,201601_113.96620072476264_22.522672982541344.png
highway,clear and organized,navigate effectively,positive,201601_113.97202773236299_22.522735744616757.png
lanes,logical and predictable,drive confidently,positive,201601_113.97202773236299_22.522735744616757.png
trees,sense of order and integration,enjoy surroundings,positive,201601_113.97202773236299_22.522735744616757.png
median,structured environment,feel safe while driving,positive,201601_113.97202773236299_22.522735744616757.png
streetlights,enhanced visibility,drive at night,positive,201601_113.97202773236299_22.522735744616757.png
highway,degree of order,navigate effectively,positive,201601_113.97572705186109_22.58630829746072.png
barriers,sense of organization,feel secure,positive,201601_113.97572705186109_22.58630829746072.png
urban structures,lack of inherent order,hesitate to engage,negative,201601_113.97572705186109_22.58630829746072.png
natural elements,blending with urban space,explore surroundings,neutral,201601_113.97572705186109_22.58630829746072.png
thoroughfare,busy impression,avoid congestion,negative,201601_113.97572705186109_22.58630829746072.png
road,sense of order,navigating efficiently,positive,201601_113.97977450366264_22.557519229289227.png
sidewalk,safety and accessibility,walking comfortably,positive,201601_113.97977450366264_22.557519229289227.png
buildings,structured environment,engaging with urban life,positive,201601_113.97977450366264_22.557519229289227.png
nature,balance with urbanity,enjoying the surroundings,positive,201601_113.97977450366264_22.557519229289227.png
roads,sense of predictability,navigating effectively,positive,201601_113.9813306_22.522830199999998.png
trees,sense of order,enjoying the environment,positive,201601_113.9813306_22.522830199999998.png
buildings,structured layout,feeling secure,positive,201601_113.9813306_22.522830199999998.png
tunnel,strong sense of order,easy to perceive arrangement,positive,201601_113.98685138772336_22.571952680695862.png
lighting,organized visual experience,navigate confidently,positive,201601_113.98685138772336_22.571952680695862.png
markings,predictable environment,follow clear paths,positive,201601_113.98685138772336_22.571952680695862.png
street,sense of order,easier navigation,positive,201601_113.98545226936159_22.558743803665752.png
markings,structured environment,following traffic rules,positive,201601_113.98545226936159_22.558743803665752.png
infrastructure,understandable environment,increased safety awareness,positive,201601_113.98545226936159_22.558743803665752.png
buildings,organized area,comfort in surroundings,positive,201601_113.98545226936159_22.558743803665752.png
landscaping,aesthetic appeal,enjoyment of space,positive,201601_113.98545226936159_22.558743803665752.png
road,lack of belonging,disengagement,negative,201601_113.98643188363951_22.565336028740756.png
lanes,understandable organization,following traffic rules,neutral,201601_113.98643188363951_22.565336028740756.png
barriers,restrictive environment,limited movement,negative,201601_113.98643188363951_22.565336028740756.png
elements,disjointed feeling,avoidance of space,negative,201601_113.98643188363951_22.565336028740756.png
highway,sense of coherence,easy to process,positive,201601_113.9881356_22.548977.png
infrastructure,predictable environment,follows logical design,positive,201601_113.9881356_22.548977.png
street,degree of order,navigate effectively,positive,201601_114.00555478492693_22.63003206862512.png
traffic,confusion in organization,hesitate to cross,negative,201601_114.00555478492693_22.63003206862512.png
greenery,sense of integration,enjoy surroundings,positive,201601_114.00555478492693_22.63003206862512.png
buildings,layered complexity,explore further,neutral,201601_114.00555478492693_22.63003206862512.png
roads,sense of order,navigate effectively,positive,201601_113.9968099_22.555977199999997.png
greenery,natural organization,enjoy the environment,positive,201601_113.9968099_22.555977199999997.png
infrastructure,feeling of anonymity,withdraw from social interaction,negative,201601_113.9968099_22.555977199999997.png
buildings,utilitarian feel,lack of engagement,negative,201601_114.0059923_22.6918247.png
layout,lack of design,disinterest in space,negative,201601_114.0059923_22.6918247.png
materials,functional impression,perception of industrial use,negative,201601_114.0059923_22.6918247.png
state,lack of aesthetic order,avoidance of space,negative,201601_114.0059923_22.6918247.png
highway,clear and organized structure,navigate efficiently,positive,201601_113.99672798997247_22.58945622969369.png
lanes,well-defined,follow traffic rules,positive,201601_113.99672798997247_22.58945622969369.png
barriers,sense of safety,drive confidently,positive,201601_113.99672798997247_22.58945622969369.png
streetlights,enhanced visibility,travel at night,positive,201601_113.99672798997247_22.58945622969369.png
signs,guidance,make informed decisions,positive,201601_113.99672798997247_22.58945622969369.png
overpass,systematic arrangement,maintain traffic flow,positive,201601_113.99672798997247_22.58945622969369.png
trees,contrast with built structures,appreciate nature,neutral,201601_113.99672798997247_22.58945622969369.png
structures,sense of order,feel secure,positive,201601_113.99672798997247_22.58945622969369.png
highway,clear and organized structure,safe driving behavior,positive,201601_114.01749233094428_22.591981714324998.png
lanes,well-defined,navigating effectively,positive,201601_114.01749233094428_22.591981714324998.png
traffic signs,visible guidance,following traffic rules,positive,201601_114.01749233094428_22.591981714324998.png
layout,logical pattern,efficient travel,positive,201601_114.01749233094428_22.591981714324998.png
trees,sense of order,enjoying the scenery,positive,201601_114.01749233094428_22.591981714324998.png
hills,natural complement,appreciating the landscape,positive,201601_114.01749233094428_22.591981714324998.png
road,degree of organization,navigate effectively,positive,201601_114.0135251_22.565275.png
buildings,sense of structure,feel secure,positive,201601_114.0135251_22.565275.png
lanes,clarity,drive confidently,positive,201601_114.0135251_22.565275.png
barriers,safety,reduce anxiety,positive,201601_114.0135251_22.565275.png
panoramic view,less coherent perception,feel overwhelmed,negative,201601_114.0135251_22.565275.png
natural setting,focused tranquility,relax and unwind,positive,201601_114.0135251_22.565275.png
highway,sense of order,understanding layout,positive,201601_114.03046191823277_22.51912009883957.png
lanes,predictable arrangement,efficient traffic flow,positive,201601_114.03046191823277_22.51912009883957.png
guardrails,sense of safety,confidence in navigation,positive,201601_114.03046191823277_22.51912009883957.png
streetlights,visibility,enhanced awareness,positive,201601_114.03046191823277_22.51912009883957.png
road,sense of order,navigate effectively,positive,201601_114.0239785_22.596299100000003.png
greenery,comprehensible environment,engage with nature,positive,201601_114.0239785_22.596299100000003.png
infrastructure,logical arrangement,utilize space efficiently,positive,201601_114.0239785_22.596299100000003.png
highway,degree of order,navigating effectively,positive,201601_114.03567077868888_22.68400715626629.png
greenery,lack of complexity,feeling disoriented,negative,201601_114.03567077868888_22.68400715626629.png
highway,lack of calm,avoidance of space,negative,201601_114.03942740028948_22.59325947934857.png
traffic,confusion,hesitation to navigate,negative,201601_114.03942740028948_22.59325947934857.png
organization,functional but unpleasing,limited engagement,negative,201601_114.03942740028948_22.59325947934857.png
roads,sense of order,navigating efficiently,positive,201601_114.03366141303097_22.562467485822165.png
buildings,stability,engaging with the environment,positive,201601_114.03366141303097_22.562467485822165.png
traffic,predictability,planning travel routes,positive,201601_114.03366141303097_22.562467485822165.png
road,structured environment,navigate easily,positive,201601_114.036026_22.562703099999997.png
buildings,orderly arrangement,understand spatial organization,positive,201601_114.036026_22.562703099999997.png
trees,planned urban design,enhance aesthetic experience,positive,201601_114.036026_22.562703099999997.png
highway,sense of structure,navigating efficiently,positive,201601_114.0422269_22.592289.png
trees,sense of order,appreciating the environment,positive,201601_114.0422269_22.592289.png
buildings,slight distraction,seeking natural spaces,negative,201601_114.0422269_22.592289.png
highway,logical structure,navigating efficiently,positive,201601_114.0493319_22.6903141.png
greenery,degree of order,appreciating aesthetics,positive,201601_114.0493319_22.6903141.png
vastness,lack of coherence,feeling overwhelmed,negative,201601_114.0493319_22.6903141.png
elements,mixed environment,confusion in navigation,negative,201601_114.0493319_22.6903141.png
road,low coherence,difficulty in navigation,negative,201601_114.0474222_22.56505.png
greenery,wild appearance,lack of comfort,negative,201601_114.0474222_22.56505.png
highway,sense of order,navigate effectively,positive,201601_114.04931807804083_22.66126338116885.png
greenery,intended design,appreciate aesthetics,positive,201601_114.04931807804083_22.66126338116885.png
vastness,challenged perception of order,feel disorientation,negative,201601_114.04931807804083_22.66126338116885.png
urban sprawl,difficulty in sense of place,experience confusion,negative,201601_114.04931807804083_22.66126338116885.png
highway,strong sense of physical order,sense of coherence,positive,201601_114.04902956281998_22.666670870084197.png
lanes,visual clarity,ease of perception,positive,201601_114.04902956281998_22.666670870084197.png
guardrails,sense of safety,confidence in navigation,positive,201601_114.04902956281998_22.666670870084197.png
traffic,orderly flow,predictable movement,positive,201601_114.04902956281998_22.666670870084197.png
median,organized arrangement,feeling of structure,positive,201601_114.04902956281998_22.666670870084197.png
greenery,aesthetic appeal,enhanced enjoyment,positive,201601_114.04902956281998_22.666670870084197.png
highway,sense of organization,navigate effectively,positive,201601_114.04942805779838_22.659461554844295.png
trees,moderate coherence,explore surroundings,neutral,201601_114.04942805779838_22.659461554844295.png
structures,lack of integration,avoid confusion,negative,201601_114.04942805779838_22.659461554844295.png
highway,sense of coherence,efficient travel,positive,201601_114.04964802536469_22.65207090120377.png
lanes,predictable environment,navigate easily,positive,201601_114.04964802536469_22.65207090120377.png
markings,ordered environment,follow directions,positive,201601_114.04964802536469_22.65207090120377.png
guardrails,sense of safety,drive confidently,positive,201601_114.04964802536469_22.65207090120377.png
infrastructure,organized surroundings,reduce stress,positive,201601_114.04964802536469_22.65207090120377.png
streetlights,visibility and clarity,travel at night,positive,201601_114.04964802536469_22.65207090120377.png
greenery,aesthetic appeal,enjoy the scenery,positive,201601_114.04964802536469_22.65207090120377.png
street,sense of order,navigate easily,positive,201601_114.0525647_22.6947956.png
buildings,sense of uniformity,feel comfortable,positive,201601_114.0525647_22.6947956.png
landscaping,functional organization,appreciate design,positive,201601_114.0525647_22.6947956.png
palm trees,visual appeal,enjoy surroundings,positive,201601_114.0525647_22.6947956.png
roads,predictability,move confidently,positive,201601_114.0525647_22.6947956.png
street,moderate coherence,sense of order,positive,201601_114.0532335_22.621556000000005.png
buildings,visual complexity,detracts from clarity,negative,201601_114.0532335_22.621556000000005.png
vehicles,visual complexity,detracts from clarity,negative,201601_114.0532335_22.621556000000005.png
businesses,visual complexity,detracts from clarity,negative,201601_114.0532335_22.621556000000005.png
buildings,chaotic arrangement,difficulty in navigation,negative,201601_114.05458541558635_22.663566435002277.png
shops,visual clutter,overwhelm and distraction,negative,201601_114.05458541558635_22.663566435002277.png
signage,confusion,lack of clear direction,negative,201601_114.05458541558635_22.663566435002277.png
architectural styles,lack of coherence,disinterest in exploration,negative,201601_114.05458541558635_22.663566435002277.png
roads,sense of order,navigate efficiently,positive,201601_114.0557311716159_22.62335255328613.png
buildings,sense of busyness,avoid congestion,negative,201601_114.0557311716159_22.62335255328613.png
traffic,feeling overwhelmed,seek quieter routes,negative,201601_114.0557311716159_22.62335255328613.png
pedestrian,moderate understanding,cross safely,neutral,201601_114.0557311716159_22.62335255328613.png
lanes,sense of order,navigate effectively,positive,201601_114.0575528_22.566189400000003.png
streetlights,sense of safety,move confidently at night,positive,201601_114.0575528_22.566189400000003.png
buildings,structured environment,engage with surroundings,positive,201601_114.0575528_22.566189400000003.png
trees,aesthetic appeal,enjoy outdoor spaces,positive,201601_114.0575528_22.566189400000003.png
traffic flow,organized movement,reduce congestion,positive,201601_114.0575528_22.566189400000003.png
greenery,calming effect,spend time outdoors,positive,201601_114.0575528_22.566189400000003.png
buildings,sense of order,easier navigation,positive,201601_114.0681826_22.6512261.png
vehicles,busy environment,increased caution,neutral,201601_114.0681826_22.6512261.png
access,structured layout,encouraged exploration,positive,201601_114.0681826_22.6512261.png
pathways,sense of order,navigate effectively,positive,201601_114.07046730000002_22.5518554.png
stalls,cohesive environment,engage in commerce,positive,201601_114.07046730000002_22.5518554.png
barriers,safety,cross streets confidently,positive,201601_114.07046730000002_22.5518554.png
items,disorder,avoid certain areas,negative,201601_114.07046730000002_22.5518554.png
construction,incompletion,hesitate to explore,negative,201601_114.07046730000002_22.5518554.png
roads,sense of order,navigate easily,positive,201601_114.06932279268345_22.56935392270659.png
signage,predictability,follow directions,positive,201601_114.06932279268345_22.56935392270659.png
sidewalks,safety,walk comfortably,positive,201601_114.06932279268345_22.56935392270659.png
buildings,functional layout,engage with environment,positive,201601_114.06932279268345_22.56935392270659.png
crosswalks,ease of movement,cross streets,positive,201601_114.06932279268345_22.56935392270659.png
buildings,sense of disorder,avoidance of space,negative,201601_114.0724127_22.649408300000005.png
road,sense of confusion,hesitation to navigate,negative,201601_114.0724127_22.649408300000005.png
construction,feeling of disruption,distraction from activities,negative,201601_114.0724127_22.649408300000005.png
materials,lack of coherence,disinterest in exploration,negative,201601_114.0724127_22.649408300000005.png
zones,uncertainty,reluctance to walk,negative,201601_114.0724127_22.649408300000005.png
lanes,sense of organization,navigate easily,positive,201601_114.0712346_22.5696774.png
signs,sense of clarity,follow directions,positive,201601_114.0712346_22.5696774.png
infrastructure,sense of structure,move confidently,positive,201601_114.0712346_22.5696774.png
streetlights,sense of safety,stay longer,positive,201601_114.0712346_22.5696774.png
trees,sense of comfort,relax in space,positive,201601_114.0712346_22.5696774.png
hedges,sense of privacy,engage in activities,positive,201601_114.0712346_22.5696774.png
highway,degree of order,predictable navigation,positive,201601_114.0724316_22.615120099999995.png
nature,lack of harmony,discomfort in space,negative,201601_114.0724316_22.615120099999995.png
infrastructure,predictability,ease of movement,positive,201601_114.0724316_22.615120099999995.png
highway,disjointed visual experience,lack of engagement,negative,201601_114.09230752812105_22.655173748538054.png
trees,disjointed visual experience,lack of engagement,negative,201601_114.09230752812105_22.655173748538054.png
poles,disjointed visual experience,lack of engagement,negative,201601_114.09230752812105_22.655173748538054.png
wires,disjointed visual experience,lack of engagement,negative,201601_114.09230752812105_22.655173748538054.png
highway,sense of order,understanding environment,positive,201601_114.1000798_22.6646044.png
lanes,sense of organization,navigating space,positive,201601_114.1000798_22.6646044.png
markings,clarity,following directions,positive,201601_114.1000798_22.6646044.png
infrastructure,familiarity,using facilities,positive,201601_114.1000798_22.6646044.png
highway,sense of order,navigate confidently,positive,201601_114.10467809451235_22.63798504103764.png
vegetation,predictability,feel secure,positive,201601_114.10467809451235_22.63798504103764.png
structure,clear organization,engage with environment,positive,201601_114.10467809451235_22.63798504103764.png
road,easy to understand,navigate effectively,positive,201601_114.10623119912222_22.574391960607027.png
