spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
buildings,urban congestion,seeking quieter spaces,negative,201312_114.3024738_22.713602799999997.png,escape from daily life
noise,overstimulation,desire for escape,negative,201312_114.3024738_22.713602799999997.png,respite from daily demands
bridge,not a refuge,no escape,negative,201312_114.30084265157338_22.721674421737674.png,no complete refuge
traffic,lack of detachment,no mental restoration,negative,201312_114.30084265157338_22.721674421737674.png,lack of mental break
buildings,urban landscape,no calming effect,negative,201312_114.30084265157338_22.721674421737674.png,failing to induce calmness
street,not a refuge,not escaping responsibilities,negative,201312_114.3068844999097_22.781795199656468.png,stay engaged with daily life
traffic,functional environment,not finding tranquility,negative,201312_114.3068844999097_22.781795199656468.png,no mental escape
businesses,stressful atmosphere,not relaxing,negative,201312_114.3068844999097_22.781795199656468.png,stress increase
roads,not a true refuge,stay engaged,negative,201312_114.30610550000002_22.6990579.png,engagement in everyday activities
traffic,part of everyday life,avoid detachment,negative,201312_114.30610550000002_22.6990579.png,difficulty in detaching thoughts
construction,ongoing concerns,remain alert,negative,201312_114.30610550000002_22.6990579.png,focus on routine
construction,feelings of stress,avoidance of the area,negative,201312_114.30637782958321_22.763717356228167.png,seek refuge from urban demands
development,lack of refuge,seeking escape,negative,201312_114.30637782958321_22.763717356228167.png,difficulty in escaping
zone,work zone mentality,increased anxiety,negative,201312_114.30637782958321_22.763717356228167.png,awareness of stress
highway,lack of escape,difficult to stop thoughts,negative,201312_114.3073455_22.674572200000004.png,disengagement difficulty
traffic,stress and distraction,avoidance of relaxation,negative,201312_114.3073455_22.674572200000004.png,avoidance of refuge
road,functional and demanding,focus on responsibilities,negative,201312_114.3073455_22.674572200000004.png,focus on daily life
highway,not a complete refuge,means of transition,negative,201312_114.3078142_22.745294399999995.png,journey focus
traffic,sense of escape lacking,mental detachment hindered,negative,201312_114.3078142_22.745294399999995.png,lack of tranquil escape
urban,clear proximity,increased daily pressures,negative,201312_114.3078142_22.745294399999995.png,heightens obligations
street,lack of escape,engagement with surroundings,negative,201312_114.3078453_22.770198800000003.png,interacting with surroundings
vehicles,constant activity,movement through space,neutral,201312_114.3078453_22.770198800000003.png,transit and movement
infrastructure,functional environment,utilitarian use,neutral,201312_114.3078453_22.770198800000003.png,engaging in activities
highway,not a refuge,lack of mental break,negative,201312_114.30882777640898_22.732776127722143.png,diminished refuge
vehicles,potential disruption,avoidance of relaxation,negative,201312_114.30882777640898_22.732776127722143.png,avoidance of refuge
construction,not peaceful,increased stress,negative,201312_114.30882777640898_22.732776127722143.png,continued stress
traffic,lack of peace,difficulty disengaging,negative,201312_114.3081115_22.7803939.png,inhibits relaxation
infrastructure,stressful environment,inability to relax,negative,201312_114.3081115_22.7803939.png,difficulty detaching
buildings,active atmosphere,engagement with daily life,negative,201312_114.3081115_22.7803939.png,persist with regular activities
highway,low sense of being away,not escape from daily demands,negative,201312_114.30909598501461_22.730988309983697.png,maintaining daily demands
vehicles,utilitarian nature,work against feeling of refuge,negative,201312_114.30909598501461_22.730988309983697.png,remain engaged with daily life
construction,functional environment,lack of refuge,negative,201312_114.31085900000001_22.689298199999996.png,distance from tasks
earth,non-restorative space,avoidance of stress,negative,201312_114.31085900000001_22.689298199999996.png,avoidance of bothersome elements
poles,uninviting atmosphere,disengagement,negative,201312_114.31085900000001_22.689298199999996.png,limited detachment
highway,not a secluded refuge,transit and activity,negative,201312_114.30829269569529_22.736351932211612.png,continued commuting
greenery,visual escape from urban clutter,temporary detachment,positive,201312_114.30829269569529_22.736351932211612.png,difficulty in detaching thoughts
vehicles,constant movement,less opportunity for escape,negative,201312_114.30829269569529_22.736351932211612.png,no significant relaxation
guardrails,thoroughfare nature,journey focus,negative,201312_114.30829269569529_22.736351932211612.png,movement focus
roads,lack of escape,remain engaged,negative,201312_114.3102506058095_22.683110612437336.png,maintaining focus
vehicles,connection to daily life,continue routine,negative,201312_114.3102506058095_22.683110612437336.png,maintaining responsibilities
structures,not a refuge,avoid relaxation,negative,201312_114.3102506058095_22.683110612437336.png,inability to relax
road,not a refuge,continuation of daily life,negative,201312_114.3115919864939_22.782113155236605.png,focus on practical matters
traffic,feeling of thoroughfare,lack of escape,negative,201312_114.3115919864939_22.782113155236605.png,no refuge seeking
infrastructure,urban demands,engagement with daily concerns,negative,201312_114.3115919864939_22.782113155236605.png,compliance with daily responsibilities
roads,not a strong refuge,remain engaged,negative,201312_114.31306709138376_22.68430250803886.png,maintaining focus
vehicles,busy atmosphere,continue daily activities,negative,201312_114.31306709138376_22.68430250803886.png,engagement in daily activities
greenery,slight escape,seek tranquility,positive,201312_114.31306709138376_22.68430250803886.png,seeking serenity
highway,lack of escape,avoidance of stress,negative,201312_114.31406450584258_22.754072290303167.png,avoidance of bothersome elements
traffic,ongoing concern,increased anxiety,negative,201312_114.31406450584258_22.754072290303167.png,awareness of stress
infrastructure,lack of tranquility,disengagement from routine,negative,201312_114.31406450584258_22.754072290303167.png,limit escape
road,not a refuge,continuation of routines,negative,201312_114.3141215_22.79020119999999.png,remain in routine
vehicles,urban stress,increased traffic,negative,201312_114.3141215_22.79020119999999.png,difficulty escaping responsibilities
vehicles,lack of refuge,increased stress,negative,201312_114.3155155_22.763827.png,continued stress
roads,mental distractions,difficulty concentrating,negative,201312_114.3155155_22.763827.png,no complete refuge
buildings,urban activity,feeling overwhelmed,negative,201312_114.3155155_22.763827.png,feel stressed
street,lack of escape,no desire to stay,negative,201312_114.3182645830684_22.724908281132695.png,no desire to stay
shops,minimal refuge,limited engagement,negative,201312_114.3182645830684_22.724908281132695.png,ongoing involvement
traffic,increased stress,avoidance of area,negative,201312_114.3182645830684_22.724908281132695.png,unwillingness to engage in daily life
highway,decent sense of being away,mental escape,positive,201312_114.31522844727854_22.755518967676593.png,seeking serenity
vegetation,separation from surroundings,partial detachment,positive,201312_114.31522844727854_22.755518967676593.png,partial detachment
traffic,indication of being in a moving vehicle,suggests partial detachment,negative,201312_114.31522844727854_22.755518967676593.png,no disconnection
median,touch of nature,none,positive,201312_114.31612025816067_22.78552685983303.png,none
road,lack of refuge,none,negative,201312_114.31612025816067_22.78552685983303.png,none
buildings,functional environment,none,negative,201312_114.31612025816067_22.78552685983303.png,none
road,lack of escape,disconnection from concerns,negative,201312_114.31805096058591_22.78701133861716.png,disconnection from concerns
vehicles,reminders of daily life,increased stress,negative,201312_114.31805096058591_22.78701133861716.png,continued stress
setting,urban distractions,difficulty in relaxing,negative,201312_114.31805096058591_22.78701133861716.png,inhibits relaxation
premises,escape from urban nuisances,seeking refuge,positive,201312_114.31831256057494_22.766440655872437.png,seeking serenity
vegetation,sense of detachment,exploring nature,positive,201312_114.31831256057494_22.766440655872437.png,seek relaxation
pathway,limited feeling of being away,hesitation to engage,negative,201312_114.31831256057494_22.766440655872437.png,feeling constrained
view,awareness of daily concerns,returning to routine,negative,201312_114.31831256057494_22.766440655872437.png,ongoing journey
greenery,lack of refuge,no escape,negative,201312_114.3184209_22.690870499999996.png,no complete refuge
roads,constant presence,stay engaged,negative,201312_114.3184209_22.690870499999996.png,engagement in everyday activities
vehicles,urban demands,avoidance of detachment,negative,201312_114.3184209_22.690870499999996.png,engage in routine activities
construction,everyday world,remain involved,negative,201312_114.3184209_22.690870499999996.png,heightened engagement in tasks
trees,natural respite,seeking escape,positive,201312_114.3197591_22.688869199999992.png,difficulty in escaping
street,lack of escape,avoidance of nuisances,negative,201312_114.3197591_22.688869199999992.png,source of daily nuisances
traffic,urban stress,increased anxiety,negative,201312_114.3197591_22.688869199999992.png,awareness of stress
trees,degree of escape,facilitating detachment,positive,201312_114.3210375_22.764714699999995.png,engagement in hustle
highway,mental tethering,navigation and travel concerns,negative,201312_114.3210375_22.764714699999995.png,feeling of being rushed
buildings,lack of refuge,continuation of daily life,negative,201312_114.32047496065323_22.79014665066662.png,focus on practical matters
roads,stress continuation,no escape from obligations,negative,201312_114.32047496065323_22.79014665066662.png,ongoing engagement with daily life
wires,urban stress,no mental break,negative,201312_114.32047496065323_22.79014665066662.png,lack of tranquil escape
store,daily life implication,engagement in routine,negative,201312_114.32047496065323_22.79014665066662.png,engaging in activities
construction,lack of escape,avoidance of respite,negative,201312_114.32338790973945_22.666212701049062.png,absence of relief from responsibilities
environment,mental burden,focus on responsibilities,negative,201312_114.32338790973945_22.666212701049062.png,focus on daily life
traffic,lack of escape,avoidance of the area,negative,201312_114.3255492_22.6750059.png,seek refuge from urban demands
buildings,confinement,seeking open spaces,negative,201312_114.3255492_22.6750059.png,seek peace
power lines,disconnection,desire for tranquility,negative,201312_114.3255492_22.6750059.png,promoting calmness
highway,stress and obligation,engagement with tasks,negative,201312_114.32671199869294_22.792176681474434.png,engaging in activities
street,lack of escape,no mental break,negative,201312_114.3236299_22.6808436.png,lack of tranquil escape
traffic,stressful environment,increased anxiety,negative,201312_114.3236299_22.6808436.png,awareness of stress
construction,disruption,avoidance of space,negative,201312_114.3236299_22.6808436.png,no escape
buildings,busy atmosphere,limited relaxation,negative,201312_114.3236299_22.6808436.png,diminished calm
road,lack of refuge,avoidance of area,negative,201312_114.3253160812913_22.666449648426.png,unwillingness to engage in daily life
buildings,busy environment,engagement in activities,neutral,201312_114.3253160812913_22.666449648426.png,engagement in activities
construction,distraction from tranquility,stress response,negative,201312_114.3253160812913_22.666449648426.png,increased anxiety
street,lack of escape,no mental break,negative,201312_114.3267391_22.701104000000004.png,lack of tranquil escape
cars,stressful environment,increased daily concerns,negative,201312_114.3267391_22.701104000000004.png,anxiety and interruptions
signage,everyday life,no refuge,negative,201312_114.3267391_22.701104000000004.png,lack of mental break
roads,sense of escape diminished,not seeking refuge,negative,201312_114.3289824_22.6672359.png,no calming effect
vehicles,transitional space feeling,not stopping to think,negative,201312_114.3289824_22.6672359.png,evasion of deep thought
industrial,removal from concerns lessened,not feeling removed,negative,201312_114.3289824_22.6672359.png,avoid responsibilities
highway,sense of detachment,leave behind hustle,positive,201312_114.327853_22.801035.png,providing a feeling of escape
trees,partial escape,seek refuge,positive,201312_114.327853_22.801035.png,seeking calmness
infrastructure,limited feeling of refuge,implied journey,negative,201312_114.327853_22.801035.png,continuing with habitual activities
construction,not a strong refuge,unlikely to offer escape,negative,201312_114.3357108_22.7068871.png,failing to induce calmness
scaffolding,general sense of urban development,suggests ongoing activity,negative,201312_114.3357108_22.7068871.png,limited detachment
environment,active and noisy,does not provide peace,negative,201312_114.3357108_22.7068871.png,no calming effect
traffic,lack of escape,avoidance of area,negative,201312_114.34066892262155_22.688445482442333.png,unwillingness to engage in daily life
buildings,sense of activity,engagement with surroundings,neutral,201312_114.34066892262155_22.688445482442333.png,interacting with surroundings
vehicles,overwhelmed by presence,stress response,negative,201312_114.34066892262155_22.688445482442333.png,increased anxiety
pedestrian,functional environment,navigating through space,neutral,201312_114.34066892262155_22.688445482442333.png,navigation and travel concerns
trees,slight sense of escape,seeking refuge,positive,201312_114.33773830000001_22.598599399999998.png,seeking serenity
sky,slight sense of escape,seeking refuge,positive,201312_114.33773830000001_22.598599399999998.png,seeking serenity
road,limited sense of being away,continuing journey,negative,201312_114.33773830000001_22.598599399999998.png,continuing with habitual activities
traffic,feeling of ongoing activity,engaging with daily concerns,negative,201312_114.33773830000001_22.598599399999998.png,active urban engagement
vehicles,feeling of ongoing activity,engaging with daily concerns,negative,201312_114.33773830000001_22.598599399999998.png,active urban engagement
street,increased stress,avoidance of the area,negative,201312_114.3442393_22.704083.png,seek refuge from urban demands
traffic,overwhelmed,seeking quieter spaces,negative,201312_114.3442393_22.704083.png,escape from daily life
infrastructure,lack of refuge,desire for escape,negative,201312_114.3442393_22.704083.png,respite from daily demands
greenery,slight escape from urban harshness,seek refuge,positive,201312_114.3488355_22.7166059.png,seeking calmness
road,not a complete refuge,continue daily routines,negative,201312_114.3488355_22.7166059.png,maintain daily activities
traffic,suggests ongoing demands,endure nuisances,negative,201312_114.3488355_22.7166059.png,seek tranquility
highway,not a refuge,transit,negative,201312_114.3589352_22.74361039999999.png,transit
sky,visual respite,temporary relief,positive,201312_114.3589352_22.74361039999999.png,respite
concrete,overwhelming presence,movement focus,negative,201312_114.3589352_22.74361039999999.png,implied journey
trees,natural escape,detach from daily pressures,positive,201312_114.34766130644998_22.7063972838596.png,promote relaxation
vegetation,calm atmosphere,relax and unwind,positive,201312_114.34766130644998_22.7063972838596.png,promoting calmness
traffic,sense of removal,seek tranquility,negative,201312_114.34766130644998_22.7063972838596.png,seeking serenity
built environment,not fully removed,remain engaged with daily life,neutral,201312_114.34766130644998_22.7063972838596.png,ongoing engagement with daily life
trees,feeling of escape,disconnect from daily concerns,positive,201312_114.3564416_22.612451399999998.png,mental detachment hindered
road,feeling exposed,detracts from escape,negative,201312_114.3564416_22.612451399999998.png,not finding refuge
buildings,functional environment,difficult to disconnect,negative,201312_114.3564416_22.612451399999998.png,difficult to disconnect
sky,sense of openness,enhance relaxation,positive,201312_114.3564416_22.612451399999998.png,promoting tranquility
traffic,lack of mental escape,avoidance of the area,negative,201312_114.3630441_22.746719300000002.png,seek refuge from urban demands
construction,stress and distraction,seeking quieter spaces,negative,201312_114.3630441_22.746719300000002.png,escape from daily life
establishments,overstimulation,desire for detachment,negative,201312_114.3630441_22.746719300000002.png,desire to escape
highway,temporary escape,transit,negative,201312_114.3597196_22.747154499999997.png,transit
environment,not designed for contemplation,not stopping,negative,201312_114.3597196_22.747154499999997.png,disengagement difficulty
street,not a refuge,remain engaged,negative,201312_114.36931788822233_22.690775032098227.png,maintaining focus
traffic,stressful environment,avoid responsibilities,negative,201312_114.36931788822233_22.690775032098227.png,avoidance of mental break
infrastructure,overwhelmed by concerns,stay focused on daily tasks,negative,201312_114.36931788822233_22.690775032098227.png,stay focused
traffic,not a refuge,transit activity,negative,201312_114.3739421_22.708664299999995.png,feeling of escape
roads,not conducive to escape,daily concerns,negative,201312_114.3739421_22.708664299999995.png,anxiety and interruptions
construction,active environment,functional use,neutral,201312_114.3739421_22.708664299999995.png,focus on navigation
greenery,sense of escape,stop thinking about chores,positive,201312_114.36616_22.6108985.png,evasion of deep thought
road,detachment from daily demands,temporarily disengage,positive,201312_114.36616_22.6108985.png,lack of engagement
sky,serene atmosphere,seek tranquility,positive,201312_114.36616_22.6108985.png,seeking serenity
greenery,respite from stress,mental escape,positive,201312_114.37249116294527_22.720139972827667.png,seeking serenity
road,urban thoroughfare,less effective for mental escape,negative,201312_114.37249116294527_22.720139972827667.png,limited detachment
vehicles,urban stressors,detachment from demands,negative,201312_114.37249116294527_22.720139972827667.png,compliance with daily responsibilities
greenery,sense of escape,temporary mental break,positive,201312_114.38311694003148_22.759337400803414.png,seek quieter environments
vehicles,feeling of detachment,enhanced journey experience,positive,201312_114.38311694003148_22.759337400803414.png,continuing with habitual activities
bridge,sense of escape,detachment from daily concerns,positive,201312_114.38751719988959_22.614756043802693.png,avoid responsibilities
water,feeling of being away,providing a feeling of escape,positive,201312_114.38751719988959_22.614756043802693.png,desire to escape
hills,natural scenery,enhancing relaxation,positive,201312_114.38751719988959_22.614756043802693.png,promoting calmness
sea,detachment from urban life,promoting tranquility,positive,201312_114.38751719988959_22.614756043802693.png,enhancing relaxation
trees,sense of respite,seeking tranquility,positive,201312_114.3839314_22.616090400000004.png,seeking serenity
sky,feeling of openness,enhancing relaxation,positive,201312_114.3839314_22.616090400000004.png,promoting calmness
entrance,sense of separation,creating boundaries,positive,201312_114.3839314_22.616090400000004.png,engagement in hustle
buildings,controlled environment,providing structure,neutral,201312_114.3839314_22.616090400000004.png,providing structure
road,tempered escape,acknowledging urban presence,negative,201312_114.3839314_22.616090400000004.png,recognition of demands
traffic,not a refuge,remain stressed,negative,201312_114.3844879049078_22.694927737925436.png,no calming effect
signage,not peaceful,avoid relaxation,negative,201312_114.3844879049078_22.694927737925436.png,inability to relax
urban,far from escape,continue daily demands,negative,201312_114.3844879049078_22.694927737925436.png,anxiety and interruptions
buildings,lack of escape,difficulty disconnecting,negative,201312_114.3907674_22.715154400000003.png,challenging to rest
roads,functional area,no refuge,negative,201312_114.3907674_22.715154400000003.png,lack of mental break
road,lack of escape,routine activity,negative,201312_114.38093593859112_22.72336363860997.png,remain in routine
construction,stressful environment,limited relaxation,negative,201312_114.38093593859112_22.72336363860997.png,diminished calm
infrastructure,urban pressure,increased busyness,negative,201312_114.38093593859112_22.72336363860997.png,ongoing presence of traffic
cyclist,moment of movement,personal escape,neutral,201312_114.38093593859112_22.72336363860997.png,desire to escape
road,not a refuge,traveling,negative,201312_114.39662752429521_22.66077937955246.png,continued commuting
cars,connected to demands,commuting,negative,201312_114.39662752429521_22.66077937955246.png,continued commuting
highway,transitional space,passing through,neutral,201312_114.39662752429521_22.66077937955246.png,continuing with habitual activities
greenery,some visual separation,temporary distraction,neutral,201312_114.39662752429521_22.66077937955246.png,take a break
street,lack of escape,avoidance of stress,negative,201312_114.3980056_22.695391199999996.png,avoidance of bothersome elements
traffic,overwhelmed by demands,increased urgency,negative,201312_114.3980056_22.695391199999996.png,navigation and travel concerns
infrastructure,constant obligation,reduced relaxation,negative,201312_114.3980056_22.695391199999996.png,reduced relaxation
trees,pleasant environment,none,neutral,201312_114.3908848_22.7107337.png,none
roads,active environment,none,negative,201312_114.3908848_22.7107337.png,none
buildings,lack of refuge,none,negative,201312_114.3908848_22.7107337.png,none
vehicles,demanding thoughts,none,negative,201312_114.3908848_22.7107337.png,none
road,not a complete refuge,remain connected to daily life,negative,201312_114.3940449_22.663478299999994.png,compliance with daily responsibilities
greenery,natural escape,seek detachment from everyday demands,positive,201312_114.3940449_22.663478299999994.png,break from daily demands
road,lack of escape,no detachment,negative,201312_114.3994517_22.718462399999993.png,no refuge from stressors
street,calmness,passive observation,neutral,201312_114.3994517_22.718462399999993.png,brief mental escape
streets,sense of escape,seeking tranquility,positive,201312_114.4100365_22.6964255.png,seeking serenity
mountains,peaceful environment,enjoying nature,positive,201312_114.4100365_22.6964255.png,seek quiet places
person,removed from demands,relaxing,positive,201312_114.4100365_22.6964255.png,facilitate relaxation
bicycle,calmness,exploring surroundings,positive,201312_114.4100365_22.6964255.png,engage in routine activities
roads,sense of stress,avoidance,negative,201312_114.4042881_22.7525312.png,avoidance
structures,lack of escape,disengagement,negative,201312_114.4042881_22.7525312.png,limited detachment
landscaping,sense of being away,escape daily pressures,positive,201312_114.4014968_22.718388399999995.png,respite from stress
greenery,calming presence,detachment from routine,positive,201312_114.4014968_22.718388399999995.png,mental detachment
mountain,sense of openness,relaxation,positive,201312_114.4014968_22.718388399999995.png,seeking serenity
sky,feeling of openness,mental escape,positive,201312_114.4014968_22.718388399999995.png,seeking serenity
road,lack of refuge,avoidance of urban demands,negative,201312_114.40110214497871_22.75813869549027.png,desire for nature
green,difficulty feeling removed,limited relaxation,negative,201312_114.40110214497871_22.75813869549027.png,diminished calm
roads,moderate sense of being away,temporary escape from routines,positive,201312_114.4025148_22.7138714.png,temporary escape from routines
sky,feeling of removal from urban demands,temporary escape from concerns,positive,201312_114.4025148_22.7138714.png,temporary escape from urban life
greenery,sense of tranquility,relaxation and rejuvenation,positive,201312_114.4025148_22.7138714.png,facilitate relaxation
buildings,sense of organization,potential for human activity,neutral,201312_114.4025148_22.7138714.png,compliance with daily responsibilities
traffic,not a refuge,reminded of obligations,negative,201312_114.4140567_22.696117900000004.png,explore the area
shops,distractions present,engagement with daily life,negative,201312_114.4140567_22.696117900000004.png,persist with regular activities
environment,lack of escape,continuation of routine,negative,201312_114.4140567_22.696117900000004.png,ongoing engagement with daily life
greenery,slight buffer from pressures,partial respite,positive,201312_114.4138687_22.6339508.png,temporary escape from urban life
buildings,limited sense of escape,awareness of urban activity,negative,201312_114.4138687_22.6339508.png,increased awareness of surroundings
traffic,active urban environment,increased stress,negative,201312_114.4138687_22.6339508.png,continued stress
layout,organized space,encourages use,positive,201312_114.4138687_22.6339508.png,stimulated activity
street,low restorative potential,unlikely to relax,negative,201312_114.412929_22.6364274.png,lack of relaxation
buildings,associated with daily demands,increased stress,negative,201312_114.412929_22.6364274.png,continued stress
greenery,sense of being away,mental escape,positive,201312_114.4102507_22.647543199999994.png,seeking serenity
highway,not complete detachment,ongoing presence of traffic,negative,201312_114.4102507_22.647543199999994.png,increased attention to surroundings
road,sense of calm,disengage from tasks,positive,201312_114.4191801_22.642567800000002.png,momentary relief
landscaping,detachment from bustle,escape daily concerns,positive,201312_114.4191801_22.642567800000002.png,respite from stress
trees,orderly environment,temporary disengagement,positive,201312_114.4191801_22.642567800000002.png,brief mental escape
trees,respite from daily demands,mentally disengage,positive,201312_114.4226865_22.63003519999999.png,disengaging from routines
traffic,slight diminishment of escape,awareness of disruptions,negative,201312_114.4226865_22.63003519999999.png,increased awareness of surroundings
sign,potential disruption awareness,caution in movement,neutral,201312_114.4226865_22.63003519999999.png,stay present
construction,lack of escape,no disconnection,negative,201312_114.42792634826039_22.627361865481564.png,lack of escape from responsibilities
buildings,sterile environment,no engagement,negative,201312_114.42792634826039_22.627361865481564.png,lack of relaxation
roads,absence of urban nuisances,limited exploration,neutral,201312_114.42792634826039_22.627361865481564.png,engage in routine activities
trees,feeling of being away,escape from urban life,positive,201312_114.4314124_22.5944781.png,escape from demands
road,limited detachment,inability to fully escape,negative,201312_114.4314124_22.5944781.png,lack of escape from demands
hills,sense of remoteness,seek tranquility,positive,201312_114.4314124_22.5944781.png,seeking serenity
infrastructure,presence of everyday concerns,return to urban mindset,negative,201312_114.4314124_22.5944781.png,participation in daily life
nature,moderate sense of escape,seeking refuge,positive,201312_114.4391976_22.585810399999996.png,seeking serenity
road,lessened feeling of refuge,awareness of urban demands,negative,201312_114.4391976_22.585810399999996.png,increased awareness of surroundings
vehicles,lessened feeling of refuge,awareness of urban demands,negative,201312_114.4391976_22.585810399999996.png,increased awareness of surroundings
billboards,lessened feeling of refuge,awareness of urban demands,negative,201312_114.4391976_22.585810399999996.png,increased awareness of surroundings
sky,sense of escape,seeking refuge,positive,201312_114.4391976_22.585810399999996.png,seeking serenity
highway,lack of peace,inability to escape,negative,201312_114.4500566_22.596177499999992.png,seek escape
traffic,mental distraction,increased stress,negative,201312_114.4500566_22.596177499999992.png,continued stress
vehicles,constant attention demand,heightened awareness,negative,201312_114.4500566_22.596177499999992.png,stay present
roadwork,disruption of tranquility,avoidance of the area,negative,201312_114.4500566_22.596177499999992.png,seek refuge from urban demands
road,not a strong escape,difficult to disconnect,negative,201312_114.4491001_22.6303715.png,difficult to disconnect
sign,connection to everyday concerns,remains engaged with daily life,negative,201312_114.4491001_22.6303715.png,continuation of daily obligations
buildings,does not feel like a refuge,unable to relax,negative,201312_114.4491001_22.6303715.png,difficulty to relax
road,sense of detachment,moderate feeling of being away,neutral,201312_114.45393190000001_22.576957399999998.png,brief mental escape
guardrail,sense of detachment,moderate feeling of being away,neutral,201312_114.45393190000001_22.576957399999998.png,brief mental escape
foliage,sense of detachment,moderate feeling of being away,positive,201312_114.45393190000001_22.576957399999998.png,brief mental escape
road,sense of escape,travel and connection,positive,201312_114.44753853438388_22.59878176472855.png,journey away from routine
greenery,visual respite,momentary detachment from thoughts,positive,201312_114.44753853438388_22.59878176472855.png,temporary escape from urban life
hills,calming effect,relaxation,positive,201312_114.44753853438388_22.59878176472855.png,seeking serenity
scenery,mental detachment,stop thinking about pressing matters,positive,201312_114.44753853438388_22.59878176472855.png,temporary escape from urban life
driving,limited mental detachment,active engagement,negative,201312_114.44753853438388_22.59878176472855.png,focus on personal reflection
road,mild sense of detachment,common activities observed,neutral,201312_114.454187_22.573039099999995.png,recognizing urban life
trees,not a complete escape,adjacent to road,negative,201312_114.454187_22.573039099999995.png,increased traffic
traffic,typical concerns,driving and pedestrian crossing,neutral,201312_114.454187_22.573039099999995.png,navigation
construction,urban environment,indicates development,negative,201312_114.454187_22.573039099999995.png,enjoy leisure
greenery,buffer from urban environment,seeking escape,positive,201312_114.46222082344174_22.597519112938247.png,difficulty in escaping
highway,not a place of refuge,transitional movement,negative,201312_114.46222082344174_22.597519112938247.png,transit and movement
traffic,constant distraction,inability to relax,negative,201312_114.46222082344174_22.597519112938247.png,difficulty detaching
street,not a strong refuge,difficult to detach,negative,201312_114.4660371_22.599518000000003.png,lack of escape from demands
traffic,connected to daily demands,maintaining routine,negative,201312_114.4660371_22.599518000000003.png,maintaining routine
activity,bustling nature,engagement in responsibilities,negative,201312_114.4660371_22.599518000000003.png,enjoy leisure
trees,escape from urban nuisances,temporary mental detachment,positive,201312_114.46308265218917_22.600867810572353.png,temporary mental detachment
street,sense of tranquility,relaxation,positive,201312_114.46308265218917_22.600867810572353.png,seeking serenity
greenery,tranquil setting,escape daily stresses,positive,201312_114.4623147_22.564201599999997.png,respite from stress
mountains,clear one's mind,seek solitude,positive,201312_114.4623147_22.564201599999997.png,mental escape
road,human presence,maintain connection,neutral,201312_114.4623147_22.564201599999997.png,acceptance of urban living
road,sense of being in transit,continuing daily activities,neutral,201312_114.4670775_22.593282500000004.png,persistent engagement
buildings,lack of escape,feeling overwhelmed,negative,201312_114.4670775_22.593282500000004.png,feel stressed
vehicles,part of everyday life,not taking a break,negative,201312_114.4670775_22.593282500000004.png,increased traffic
wires,urban setting,accepting daily nuisances,negative,201312_114.4670775_22.593282500000004.png,participation in daily life
trees,slight sense of detachment,escape daily nuisances,positive,201312_114.4751016_22.5895245.png,escape from daily demands
buildings,strong feeling of being away,difficult to escape,negative,201312_114.4751016_22.5895245.png,lack of escape from responsibilities
traffic,sense of daily demands,increased stress,negative,201312_114.4751016_22.5895245.png,continued stress
sky,slight sense of detachment,momentary relief,positive,201312_114.4751016_22.5895245.png,seek relaxation
intersection,demanding attention,avoidance of space,negative,201312_114.4768636_22.600935600000003.png,no escape
traffic,stressful environment,increased vigilance,negative,201312_114.4768636_22.600935600000003.png,increased awareness of surroundings
construction,disruptive atmosphere,seeking quieter areas,negative,201312_114.4768636_22.600935600000003.png,seek quiet places
pedestrians,crowded feeling,desire for solitude,negative,201312_114.4768636_22.600935600000003.png,seeking shade
traffic,sense of order,movement,neutral,201312_114.47514667677305_22.59246633652697.png,navigation
buildings,not a feeling of escape,remain engaged,negative,201312_114.47514667677305_22.59246633652697.png,maintaining focus
road,peaceful environment,navigate through,neutral,201312_114.47514667677305_22.59246633652697.png,navigation
pedestrian,not a departure from normalcy,continue daily activities,negative,201312_114.47514667677305_22.59246633652697.png,engagement in daily activities
greenery,mental respite,seeking escape,positive,201312_114.48075_22.543404699999993.png,difficulty in escaping
lighthouse,sense of leisure,tourist attraction,positive,201312_114.48075_22.543404699999993.png,engage in routine activities
trees,contrast to urban nuisances,finding refuge,positive,201312_114.48075_22.543404699999993.png,mental escape
signage,implied leisure,exploring destinations,positive,201312_114.48075_22.543404699999993.png,engage in routine activities
intersection,lack of refuge,difficulty in mental retreat,negative,201312_114.4766241_22.591292899999996.png,unable to disconnect
traffic,constant stimuli,inability to stop thinking,negative,201312_114.4766241_22.591292899999996.png,ongoing concerns
buildings,engagement with external world,distraction from responsibilities,negative,201312_114.4766241_22.591292899999996.png,lack of relaxation
urban,overwhelmed by activity,increased stress,negative,201312_114.4766241_22.591292899999996.png,continued stress
trees,sense of detachment,escape from stressors,positive,201312_114.47875850000001_22.553592399999996.png,escape daily pressures
mountains,sense of detachment,escape from stressors,positive,201312_114.47875850000001_22.553592399999996.png,escape daily pressures
roads,limited escape,stay within urban environment,negative,201312_114.47875850000001_22.553592399999996.png,maintain connection
buildings,limited escape,stay within urban environment,negative,201312_114.47875850000001_22.553592399999996.png,maintain connection
infrastructure,limited escape,stay within urban environment,negative,201312_114.47875850000001_22.553592399999996.png,maintain connection
traffic,detracted feeling of escape,limited relaxation,negative,201312_114.4832208_22.5590197.png,diminished calm
greenery,some respite,temporary relief,positive,201312_114.4832208_22.5590197.png,respite
