spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
trees,visual interest,engagement with surroundings,positive,201312_114.24427254906077_22.685548141769612.png,engagement with surroundings
buildings,functional urban environment,navigating space,neutral,201312_114.24427254906077_22.685548141769612.png,navigating safely
vehicles,monotonous aesthetic,limited attention,negative,201312_114.24427254906077_22.685548141769612.png,lower engagement
trees,limited fascination,difficulty to engage,negative,201312_114.24759367393123_22.751763700769764.png,disengage
canal,limited fascination,difficulty to engage,negative,201312_114.24759367393123_22.751763700769764.png,disengage
buildings,monotonous scene,lack of curiosity,negative,201312_114.24759367393123_22.751763700769764.png,disinterest in the environment
infrastructure,functional mindset,lack of exploration,negative,201312_114.24759367393123_22.751763700769764.png,lack of exploration
mountains,fascination,engagement with surroundings,positive,201312_114.2548337_22.687333400000007.png,engagement with surroundings
buildings,contrast,curiosity,neutral,201312_114.2548337_22.687333400000007.png,curiosity
infrastructure,detracted experience,limited attention,negative,201312_114.2548337_22.687333400000007.png,lower engagement
construction,ongoing disruption,low engagement,negative,201312_114.2637641_22.694024.png,minimal engagement
debris,lack of interest,avoidance,negative,201312_114.2637641_22.694024.png,avoidance
buildings,unfascinating environment,disengagement,negative,201312_114.2637641_22.694024.png,disengagement
overpass,industrial activity,low exploration,negative,201312_114.2637641_22.694024.png,limited exploration
infrastructure,lack of appeal,disinterest,negative,201312_114.2637641_22.694024.png,disinterest
elements,absence of nature,low attraction,negative,201312_114.2637641_22.694024.png,little attraction
features,visual monotony,lack of curiosity,negative,201312_114.2637641_22.694024.png,disinterest in the environment
buildings,lack of curiosity,experience boredom,negative,201312_114.23760175466754_22.742406490495853.png,feel disinterested
road,lack of visual interest,experience boredom,negative,201312_114.23760175466754_22.742406490495853.png,feel disinterested
materials,lack of novelty,experience boredom,negative,201312_114.23760175466754_22.742406490495853.png,feel disinterested
road,limited fascination,lack of engagement,negative,201312_114.26495182895304_22.709595012731427.png,lack of engagement
trees,visual interest,attraction to nature,positive,201312_114.26495182895304_22.709595012731427.png,appreciation of nature
buildings,distant observation,curiosity,neutral,201312_114.26495182895304_22.709595012731427.png,curiosity
hills,aesthetic appeal,enjoyment of scenery,positive,201312_114.26495182895304_22.709595012731427.png,appreciation of beauty
trees,some interest,exploration,positive,201312_114.2661953_22.752016300000005.png,exploration
buildings,moderate engagement,observation,neutral,201312_114.2661953_22.752016300000005.png,observation
vehicles,distraction,avoidance,negative,201312_114.2661953_22.752016300000005.png,avoidance
trees,natural visual interest,exploration,positive,201312_114.2668932_22.764998399999996.png,exploration
highway,boredom,avoidance,negative,201312_114.2668932_22.764998399999996.png,avoidance
greenery,natural visual interest,relaxation,positive,201312_114.2668932_22.764998399999996.png,relaxation
road,functional and mundane,limited engagement,negative,201312_114.2727165_22.694055199999998.png,limited engagement
greenery,some visual interest,mild attraction,neutral,201312_114.2727165_22.694055199999998.png,moderate fascination
buildings,distant and unremarkable,lack of focus,negative,201312_114.2727165_22.694055199999998.png,diminished focus
greenery,limited fascination,lack of engagement,negative,201312_114.27759610961736_22.662900653370745.png,lack of engagement
highway,functional transit,minimal exploration,negative,201312_114.27759610961736_22.662900653370745.png,lower engagement
vehicles,repetitive nature,diminished curiosity,negative,201312_114.27759610961736_22.662900653370745.png,reduced interest
infrastructure,not interesting,disengagement,negative,201312_114.27759610961736_22.662900653370745.png,disengagement
infrastructure,limited fascination,difficult to engage,negative,201312_114.2380314_22.670535799999996.png,difficult to engage
greenery,lack of captivating details,hard to be bored,neutral,201312_114.2380314_22.670535799999996.png,hard to be bored
traffic,focus on monotony,mind unable to wander,negative,201312_114.2380314_22.670535799999996.png,sustained attention
sky,sense of calm,engagement with surroundings,positive,201312_114.2411396_22.6499076.png,engagement with surroundings
greenery,visual interest,exploration of space,positive,201312_114.2411396_22.6499076.png,exploration of space
overpass,sense of connection,movement across space,positive,201312_114.2411396_22.6499076.png,transition activity
road,calm engagement,walking or biking,positive,201312_114.2411396_22.6499076.png,navigation through environment
road,limited engagement,prevent boredom,negative,201312_114.2407985_22.655806999999996.png,prevent boredom
power lines,functional monotony,hold attention,negative,201312_114.2407985_22.655806999999996.png,relaxed attention
buildings,visual interest,engage visually,neutral,201312_114.2407985_22.655806999999996.png,observation of activity
trees,limited fascination,lack of engagement,negative,201312_114.27193234373506_22.6662252991443.png,lack of engagement
highway,not captivating,distraction,negative,201312_114.27193234373506_22.6662252991443.png,distraction
buildings,minimal attention,indifference,negative,201312_114.27193234373506_22.6662252991443.png,reduced curiosity
billboard,lack of intrigue,disengagement,negative,201312_114.27193234373506_22.6662252991443.png,disengagement
buildings,mundane impression,lack of engagement,negative,201312_114.28216869505376_22.684396481503317.png,lack of engagement
vegetation,visual interest,attraction to nature,positive,201312_114.28216869505376_22.684396481503317.png,appreciation of nature
infrastructure,functional perception,routine navigation,neutral,201312_114.28216869505376_22.684396481503317.png,facilitate navigation
buildings,moderate fascination,exploration,neutral,201312_114.2829641_22.722505.png,exploration
trees,some visual interest,engagement,positive,201312_114.2829641_22.722505.png,engagement
shops,visual interest,visiting,positive,201312_114.2829641_22.722505.png,exploration
sky,lack of strong beauty,disinterest,negative,201312_114.2829641_22.722505.png,disinterest
urban environment,lack of uniqueness,avoidance,negative,201312_114.2829641_22.722505.png,avoidance
highway,lack of fascination,indifference,negative,201312_114.28141_22.776670399999997.png,reduced curiosity
trees,some visual interest,mild engagement,neutral,201312_114.28141_22.776670399999997.png,temporary engagement
buildings,urban infrastructure focus,attention to movement,neutral,201312_114.28141_22.776670399999997.png,passive observation
traffic,overwhelming movement,distraction,negative,201312_114.28141_22.776670399999997.png,distraction
highway,low engagement,lack of exploration,negative,201312_114.2854693_22.661615100000002.png,lack of exploration
greenery,uniformity,minimal interaction,negative,201312_114.2854693_22.661615100000002.png,minimal interaction
billboard,confusion,distraction avoidance,negative,201312_114.2854693_22.661615100000002.png,distraction avoidance
concrete,lack of engagement,disinterest,negative,201312_114.2873743_22.774913799999997.png,disinterest
buildings,sense of incompleteness,lack of exploration,negative,201312_114.2873743_22.774913799999997.png,lack of exploration
greenery,sparse beauty,minimal interaction,negative,201312_114.2873743_22.774913799999997.png,minimal interaction
trees,limited interest,boredom,negative,201312_114.2902803_22.780098900000002.png,boredom
buildings,overwhelmed,disengagement,negative,201312_114.2902803_22.780098900000002.png,disengagement
roads,monotony,apathy,negative,201312_114.2902803_22.780098900000002.png,disengage
sky,slight relief,momentary distraction,neutral,201312_114.2902803_22.780098900000002.png,momentary distraction
vehicles,chaos,avoidance,negative,201312_114.2902803_22.780098900000002.png,avoidance
greenery,visual interest,increased attention,positive,201312_114.29582448022549_22.718211389759997.png,increased attention
trees,aesthetic pleasure,enjoyment of surroundings,positive,201312_114.29582448022549_22.718211389759997.png,appreciation of nature
road,engagement with environment,exploration,positive,201312_114.29582448022549_22.718211389759997.png,exploration
shadows,mood enhancement,relaxation,positive,201312_114.29582448022549_22.718211389759997.png,relaxation
street,functional environment,boredom,negative,201312_114.2977424_22.721650899999993.png,boredom
traffic,boredom,disengagement,negative,201312_114.2977424_22.721650899999993.png,disengagement
construction,boredom,disengagement,negative,201312_114.2977424_22.721650899999993.png,disengagement
trees,neutral impression,no significant action,neutral,201312_114.2977424_22.721650899999993.png,minimal engagement
buildings,functional environment,boredom,negative,201312_114.2977424_22.721650899999993.png,boredom
trees,some visual interest,attraction to nature,positive,201312_114.293584_22.7855359.png,appreciation of nature
buildings,functional impression,limited engagement,negative,201312_114.293584_22.7855359.png,limited engagement
roads,orderly design,predictable navigation,neutral,201312_114.293584_22.7855359.png,functional navigation
trees,sense of tranquility,increased relaxation,positive,201312_114.2989917246515_22.691329368652724.png,increased relaxation
landscaping,visual appeal,attraction to the space,positive,201312_114.2989917246515_22.691329368652724.png,interaction with nature
sky,awe and wonder,engagement with the environment,positive,201312_114.2989917246515_22.691329368652724.png,interaction with environment
infrastructure,orderliness,comfort in navigation,positive,201312_114.2989917246515_22.691329368652724.png,ease in transit
buildings,moderate fascination,engagement with surroundings,positive,201312_114.297774_22.668009000000005.png,engagement with surroundings
trees,calming effect,increased relaxation,positive,201312_114.297774_22.668009000000005.png,increased relaxation
street,stimulated interest,exploration of the area,positive,201312_114.297774_22.668009000000005.png,enhance curiosity
signage,guidance and clarity,navigating effectively,positive,201312_114.297774_22.668009000000005.png,navigating space
infrastructure,functional awareness,utilizing facilities,positive,201312_114.297774_22.668009000000005.png,functional navigation
vehicles,sense of visual interest,engagement in observation,positive,201312_114.3024738_22.713602799999997.png,passive observation
buildings,dynamic environment,exploration of surroundings,positive,201312_114.3024738_22.713602799999997.png,exploration of surroundings
greenery,refreshing atmosphere,desire to relax,positive,201312_114.3024738_22.713602799999997.png,relaxation
storefronts,stimulated curiosity,shopping or browsing,positive,201312_114.3024738_22.713602799999997.png,engagement with city life
signage,cultural engagement,interaction with local culture,positive,201312_114.3024738_22.713602799999997.png,exploration
pedestrian activity,sense of liveliness,social interaction,positive,201312_114.3024738_22.713602799999997.png,social interaction
road,limited curiosity,lack of engagement,negative,201312_114.30084265157338_22.721674421737674.png,lack of engagement
buildings,functional environment,reduced attention,negative,201312_114.30084265157338_22.721674421737674.png,reduced attention
billboards,distracting presence,diverted focus,negative,201312_114.30084265157338_22.721674421737674.png,distraction from surroundings
hills,minimal fascination,limited exploration,neutral,201312_114.30084265157338_22.721674421737674.png,limited exploration
greenery,sparse interest,little attraction,negative,201312_114.30084265157338_22.721674421737674.png,disinterest in exploration
trees,moderate fascination,draw attention,positive,201312_114.3068844999097_22.781795199656468.png,notice activity
buildings,feeling of monotony,disengagement,negative,201312_114.3068844999097_22.781795199656468.png,disengagement
traffic,feeling of monotony,disengagement,negative,201312_114.3068844999097_22.781795199656468.png,disengagement
road,lack of engagement,disinterest in surroundings,negative,201312_114.30610550000002_22.6990579.png,disinterest in surroundings
vegetation,monotony,reduced exploration,negative,201312_114.30610550000002_22.6990579.png,reduced exploration
streetlights,functional but uninspiring,minimal interaction,negative,201312_114.30610550000002_22.6990579.png,minimal interaction
markings,utilitarian feel,lack of curiosity,negative,201312_114.30610550000002_22.6990579.png,disinterest in the environment
construction,disruption,avoidance of area,negative,201312_114.30610550000002_22.6990579.png,avoidance of distractions
construction,lack of beauty,disengagement,negative,201312_114.30637782958321_22.763717356228167.png,disengagement
dust,unpleasantness,avoidance,negative,201312_114.30637782958321_22.763717356228167.png,avoidance
buildings,monotony,indifference,negative,201312_114.30637782958321_22.763717356228167.png,reduced curiosity
equipment,distraction,withdrawal,negative,201312_114.30637782958321_22.763717356228167.png,withdrawal
roads,inaccessibility,hesitation,negative,201312_114.30637782958321_22.763717356228167.png,avoidance
greenery,limited attention,boredom,negative,201312_114.3073455_22.674572200000004.png,boredom
highway,lack of fascination,disengagement,negative,201312_114.3073455_22.674572200000004.png,disengagement
traffic,sparse interest,inactivity,negative,201312_114.3073455_22.674572200000004.png,limited exploration
highway,limited fascination,lack of exploration,negative,201312_114.3078142_22.745294399999995.png,lack of exploration
greenery,visual interest,engagement with nature,positive,201312_114.3078142_22.745294399999995.png,exploration of nature
trees,visual variety,appreciation of scenery,positive,201312_114.3078142_22.745294399999995.png,appreciation of beauty
guardrails,monotony,avoidance of the area,negative,201312_114.3078142_22.745294399999995.png,avoidance of distractions
street,everyday urban activity,passive observation,neutral,201312_114.3078453_22.770198800000003.png,passive observation
buildings,some visual interest,curiosity,positive,201312_114.3078453_22.770198800000003.png,curiosity
trees,slight engagement,brief contemplation,neutral,201312_114.3078453_22.770198800000003.png,momentary reflection
vehicles,busy atmosphere,movement through space,neutral,201312_114.3078453_22.770198800000003.png,ease of navigation
signs,information overload,navigational decisions,negative,201312_114.3078453_22.770198800000003.png,decision-making in navigation
trees,some visual interest,engagement with nature,positive,201312_114.30882777640898_22.732776127722143.png,exploration of nature
concrete,lack of natural wonder,distraction from environment,negative,201312_114.30882777640898_22.732776127722143.png,distraction from engagement
guardrails,detracts from beauty,avoidance of area,negative,201312_114.30882777640898_22.732776127722143.png,avoidance of distractions
vehicles,difficult to be captivated,disengagement,negative,201312_114.30882777640898_22.732776127722143.png,disengagement
buildings,lack of fascination,experience boredom,negative,201312_114.3081115_22.7803939.png,feel disinterested
roads,limited attention,avoid engagement,negative,201312_114.3081115_22.7803939.png,disengage
traffic,absence of intrigue,feel disinterested,negative,201312_114.3081115_22.7803939.png,experience boredom
buildings,some visual interest,engagement,positive,201312_114.30909598501461_22.730988309983697.png,engagement
fields,some visual interest,engagement,positive,201312_114.30909598501461_22.730988309983697.png,engagement
vegetation,touch of natural elements,engagement,positive,201312_114.30909598501461_22.730988309983697.png,engagement
road,limits opportunity,reduced engagement,negative,201312_114.30909598501461_22.730988309983697.png,reduced engagement
construction,lack of interest,avoidance of space,negative,201312_114.31085900000001_22.689298199999996.png,avoidance of exploration
infrastructure,monotony,disengagement,negative,201312_114.31085900000001_22.689298199999996.png,disengagement
buildings,stagnation,limited exploration,negative,201312_114.31085900000001_22.689298199999996.png,limited exploration
road,repetition,lack of curiosity,negative,201312_114.31085900000001_22.689298199999996.png,disinterest in the environment
road,mundane setting,boredom,negative,201312_114.30829269569529_22.736351932211612.png,boredom
vegetation,visual interest,engagement,positive,201312_114.30829269569529_22.736351932211612.png,engagement
trees,visual repetition,lack of attention,negative,201312_114.30829269569529_22.736351932211612.png,lack of attention
highway,limited engagement,distraction,negative,201312_114.30829269569529_22.736351932211612.png,distraction
trees,limited fascination,lack of engagement,negative,201312_114.3102506058095_22.683110612437336.png,lack of engagement
buildings,routine development,minimal exploration,negative,201312_114.3102506058095_22.683110612437336.png,lower engagement
trees,lack of fascination,reduced engagement,negative,201312_114.3115919864939_22.782113155236605.png,reduced engagement
roads,monotony,disinterest,negative,201312_114.3115919864939_22.782113155236605.png,disinterest
buildings,uniformity,limited exploration,negative,201312_114.3115919864939_22.782113155236605.png,limited exploration
trees,moderate visual interest,capture attention,neutral,201312_114.31306709138376_22.68430250803886.png,attention capture
buildings,somewhat monotonous,lack of engagement,negative,201312_114.31306709138376_22.68430250803886.png,lack of engagement
traffic,functional but unengaging,minimal fascination,negative,201312_114.31306709138376_22.68430250803886.png,disinterest in space
trees,limited fascination,prevent boredom,negative,201312_114.31406450584258_22.754072290303167.png,prevent boredom
median,limited fascination,prevent boredom,negative,201312_114.31406450584258_22.754072290303167.png,prevent boredom
highway,difficult engagement,extended engagement,negative,201312_114.31406450584258_22.754072290303167.png,maintain attention
cars,difficult engagement,extended engagement,negative,201312_114.31406450584258_22.754072290303167.png,maintain attention
poles,difficult engagement,extended engagement,negative,201312_114.31406450584258_22.754072290303167.png,maintain attention
sky,sense of openness,increased exploration,positive,201312_114.3141215_22.79020119999999.png,increased exploration
roads,sense of movement,engagement with urban life,positive,201312_114.3141215_22.79020119999999.png,exploration of local culture
trees,moderate engagement,appreciation of nature,neutral,201312_114.3141215_22.79020119999999.png,admiration
buildings,limited fascination,reduced exploration,negative,201312_114.3141215_22.79020119999999.png,reduced exploration
greenery,scattered interest,occasional curiosity,neutral,201312_114.3141215_22.79020119999999.png,occasional engagement
buildings,lack of fascination,prevent boredom,negative,201312_114.3155155_22.763827.png,prevent boredom
vehicles,lack of captivating features,draw sustained attention,negative,201312_114.3155155_22.763827.png,capture interest
construction,repetitive nature,reduce engagement,negative,201312_114.3155155_22.763827.png,decreased engagement
greenery,minimal interest,no attraction,negative,201312_114.3155155_22.763827.png,reduced curiosity
trees,draws attention,increased engagement,positive,201312_114.3182645830684_22.724908281132695.png,increased engagement
shops,mundane nature,limited exploration,negative,201312_114.3182645830684_22.724908281132695.png,limited exploration
stalls,visual interest,curiosity,neutral,201312_114.3182645830684_22.724908281132695.png,curiosity
vehicles,street activity,social interaction,neutral,201312_114.3182645830684_22.724908281132695.png,social interaction
greenery,moderate fascination,visual engagement,positive,201312_114.31522844727854_22.755518967676593.png,passive observation
highway,limited fascination,restricted exploration,negative,201312_114.31522844727854_22.755518967676593.png,limited exploration
road,routine,difficult to engage,negative,201312_114.31612025816067_22.78552685983303.png,difficult to engage
buildings,some visual interest,mild engagement,neutral,201312_114.31612025816067_22.78552685983303.png,temporary engagement
streetlights,some visual interest,mild engagement,neutral,201312_114.31612025816067_22.78552685983303.png,temporary engagement
median,lack of captivating details,disinterest,negative,201312_114.31612025816067_22.78552685983303.png,disinterest
buildings,lack of engagement,disinterest,negative,201312_114.31805096058591_22.78701133861716.png,disinterest
greenery,limited fascination,boredom,negative,201312_114.31805096058591_22.78701133861716.png,boredom
road,repetitive nature,lack of exploration,negative,201312_114.31805096058591_22.78701133861716.png,lack of exploration
greenery,visual interest,maintaining attention,positive,201312_114.31831256057494_22.766440655872437.png,prolonged attention
trees,engagement,exploring surroundings,positive,201312_114.31831256057494_22.766440655872437.png,engagement with nature
buildings,urban presence,navigating space,neutral,201312_114.31831256057494_22.766440655872437.png,navigating safely
sky,aesthetic pleasure,relaxing,positive,201312_114.31831256057494_22.766440655872437.png,relaxation
trees,not highly engaging,limited exploration,negative,201312_114.3184209_22.690870499999996.png,limited exploration
traffic,potential for boredom,increased awareness,neutral,201312_114.3184209_22.690870499999996.png,increased caution
infrastructure,lack of fascination,disengagement,negative,201312_114.3184209_22.690870499999996.png,disengagement
urban,limited captivating elements,minimal interaction,negative,201312_114.3184209_22.690870499999996.png,minimal interaction
trees,aesthetically pleasing,engagement with environment,positive,201312_114.3197591_22.688869199999992.png,engagement with environment
urban,limited engagement,distraction from nature,negative,201312_114.3197591_22.688869199999992.png,distraction from environment
traffic,moderate visual interest,boredom,neutral,201312_114.3197591_22.688869199999992.png,boredom
highway,limited engagement,lack of exploration,negative,201312_114.3210375_22.764714699999995.png,lack of exploration
greenery,difficult to be captivated,reduced interaction,negative,201312_114.3210375_22.764714699999995.png,less engagement
vehicles,monotony,avoidance of interesting elements,negative,201312_114.3210375_22.764714699999995.png,reduced engagement
textures,lack of intrigue,disinterest,negative,201312_114.3210375_22.764714699999995.png,disinterest
trees,mild interest,engagement with surroundings,neutral,201312_114.32047496065323_22.79014665066662.png,engagement with surroundings
sky,slight uplift,gazing upwards,positive,201312_114.32047496065323_22.79014665066662.png,sustaining focus
architecture,lack of fascination,disengagement,negative,201312_114.32047496065323_22.79014665066662.png,disengagement
roads,mundane feeling,passive navigation,neutral,201312_114.32047496065323_22.79014665066662.png,brief attention
poles,commonplace perception,overlooking details,negative,201312_114.32047496065323_22.79014665066662.png,disengage
store,point of interest,brief curiosity,neutral,201312_114.32047496065323_22.79014665066662.png,brief curiosity
construction,limited interest,casual observation,negative,201312_114.32338790973945_22.666212701049062.png,casual observation
bushes,slight fascination,relaxation,neutral,201312_114.32338790973945_22.666212701049062.png,relaxation
mountains,distant appeal,exploration,neutral,201312_114.32338790973945_22.666212701049062.png,exploration
scaffolding,industrial impression,distraction,negative,201312_114.32338790973945_22.666212701049062.png,distraction
cranes,monotony,disengagement,negative,201312_114.32338790973945_22.666212701049062.png,disengagement
trees,some visual interest,draw attention,positive,201312_114.3255492_22.6750059.png,notice activity
sky,some visual interest,draw attention,positive,201312_114.3255492_22.6750059.png,notice activity
road,lack of captivating features,fail to hold attention,negative,201312_114.3255492_22.6750059.png,difficulty in being captivated
trees,visual interest,engagement with surroundings,positive,201312_114.32671199869294_22.792176681474434.png,engagement with surroundings
highway,boredom,distraction from environment,negative,201312_114.32671199869294_22.792176681474434.png,distraction from engagement
greenery,sense of calm,lingering in space,positive,201312_114.3236299_22.6808436.png,prolonged viewing
buildings,overwhelmed feeling,hurrying past,negative,201312_114.3236299_22.6808436.png,hurry along
road,stress and distraction,avoiding the area,negative,201312_114.3236299_22.6808436.png,disengage
traffic,loss of focus,looking away,negative,201312_114.3236299_22.6808436.png,distract from environment
buildings,monotonous environment,prevent boredom,negative,201312_114.3253160812913_22.666449648426.png,prevent boredom
vegetation,limited attention,capture interest,negative,201312_114.3253160812913_22.666449648426.png,draw sustained attention
buildings,lack of wonder,limited engagement,negative,201312_114.3267391_22.701104000000004.png,limited engagement
vehicles,busy environment,distracted observation,neutral,201312_114.3267391_22.701104000000004.png,diverted focus
infrastructure,repetitive nature,disinterest,negative,201312_114.3267391_22.701104000000004.png,disinterest
street,functional design,practical navigation,neutral,201312_114.3267391_22.701104000000004.png,movement through space
vegetation,visual interest,attraction to nature,positive,201312_114.3289824_22.6672359.png,appreciation of nature
towers,detracted impression,distraction from nature,negative,201312_114.3289824_22.6672359.png,distraction from environment
hills,somewhat mundane,limited engagement,neutral,201312_114.3289824_22.6672359.png,limited engagement
sky,visual appeal,encouragement to explore,positive,201312_114.3289824_22.6672359.png,exploration of the area
trees,some visual interest,limited engagement,neutral,201312_114.327853_22.801035.png,limited engagement
road,lack of fascination,disengagement,negative,201312_114.327853_22.801035.png,disengagement
sky,muted atmosphere,lack of wonder,negative,201312_114.327853_22.801035.png,feel disinterested
infrastructure,lack of complexity,difficulty in capturing attention,negative,201312_114.327853_22.801035.png,fail to draw attention
construction,limited fascination,difficult engagement,negative,201312_114.3357108_22.7068871.png,minimal engagement
greenery,not captivating,lack of interest,negative,201312_114.3357108_22.7068871.png,lack of interest
roads,lack of engagement,experience boredom,negative,201312_114.3357108_22.7068871.png,feel disinterested
development,not drawing attention,disinterest,negative,201312_114.3357108_22.7068871.png,disinterest
trees,some visual interest,draw attention,positive,201312_114.34066892262155_22.688445482442333.png,notice activity
buildings,busy urban street,not inherently fascinating,negative,201312_114.34066892262155_22.688445482442333.png,disinterest in exploration
traffic,busy urban street,not inherently fascinating,negative,201312_114.34066892262155_22.688445482442333.png,disinterest in exploration
advertisements,draw attention,engage visually,positive,201312_114.34066892262155_22.688445482442333.png,observation of activity
trees,captivated attention,exploring the area,positive,201312_114.33773830000001_22.598599399999998.png,exploring the area
road,limited fascination,avoiding prolonged stay,negative,201312_114.33773830000001_22.598599399999998.png,hurrying past
intersection,overwhelmed by activity,avoid exploration,negative,201312_114.3442393_22.704083.png,avoid exploration
buildings,lack of captivating details,disengagement,negative,201312_114.3442393_22.704083.png,disengagement
trees,minimal interest,pass through,negative,201312_114.3442393_22.704083.png,navigation through environment
traffic,stressful environment,focus on transit,negative,201312_114.3442393_22.704083.png,functional navigation
construction,distraction from surroundings,hurry along,negative,201312_114.3442393_22.704083.png,hurrying past
trees,mildly captivating,attraction to space,positive,201312_114.3488355_22.7166059.png,appreciation of beauty
road,limited appeal,avoidance of space,negative,201312_114.3488355_22.7166059.png,avoidance of exploration
greenery,visual interest,engagement with environment,positive,201312_114.3488355_22.7166059.png,engagement with environment
shadows,mildly captivating,attraction to space,positive,201312_114.3488355_22.7166059.png,appreciation of beauty
hills,limited fascination,lack of engagement,negative,201312_114.3589352_22.74361039999999.png,lack of engagement
highway,boredom,distraction,negative,201312_114.3589352_22.74361039999999.png,distraction
building,lack of visual interest,disinterest,negative,201312_114.3589352_22.74361039999999.png,disinterest
greenery,visual interest,engagement,positive,201312_114.34766130644998_22.7063972838596.png,engagement
urban,limited novelty,reduced engagement,negative,201312_114.34766130644998_22.7063972838596.png,reduced engagement
flora,visual interest,engagement,positive,201312_114.3564416_22.612451399999998.png,engagement
road,boredom,disengagement,negative,201312_114.3564416_22.612451399999998.png,disengagement
structures,lack of curiosity,limited exploration,negative,201312_114.3564416_22.612451399999998.png,limited exploration
trees,moderate stimulation,occasional interest,neutral,201312_114.3564416_22.612451399999998.png,find interest
shops,limited fascination,prevent boredom,negative,201312_114.3630441_22.746719300000002.png,prevent boredom
bus,limited fascination,prevent boredom,negative,201312_114.3630441_22.746719300000002.png,prevent boredom
environment,lack of interest,avoid exploration,negative,201312_114.3630441_22.746719300000002.png,avoid exploration
highway,boredom,lack of engagement,negative,201312_114.3597196_22.747154499999997.png,lack of engagement
vegetation,limited fascination,minimal exploration,negative,201312_114.3597196_22.747154499999997.png,lower engagement
vehicles,utilitarian impression,functional navigation,neutral,201312_114.3597196_22.747154499999997.png,utilitarian activities
road markings,functional focus,following rules,neutral,201312_114.3597196_22.747154499999997.png,compliance
trees,degree of fascination,increased engagement,positive,201312_114.36931788822233_22.690775032098227.png,increased engagement
greenery,visual interest,exploration,positive,201312_114.36931788822233_22.690775032098227.png,exploration
buildings,aesthetic appeal,social interaction,positive,201312_114.36931788822233_22.690775032098227.png,social interaction
road,limited fascination,avoidance,negative,201312_114.36931788822233_22.690775032098227.png,avoidance
traffic,distraction,reduced presence,negative,201312_114.36931788822233_22.690775032098227.png,minimal engagement
trees,limited fascination,minimal engagement,negative,201312_114.3739421_22.708664299999995.png,minimal engagement
sky,limited fascination,minimal engagement,negative,201312_114.3739421_22.708664299999995.png,minimal engagement
infrastructure,dominating presence,distraction from environment,negative,201312_114.3739421_22.708664299999995.png,distraction from engagement
vehicles,minimal engagement,lack of interaction,negative,201312_114.3739421_22.708664299999995.png,disinterest in the environment
pedestrians,minimal engagement,lack of interaction,negative,201312_114.3739421_22.708664299999995.png,disinterest in the environment
road,moderate fascination,preventing boredom,positive,201312_114.36616_22.6108985.png,escape boredom
greenery,visual interest,encouraging exploration,positive,201312_114.36616_22.6108985.png,exploration of the area
sunlight,visually appealing,enhancing enjoyment,positive,201312_114.36616_22.6108985.png,increased awareness
trees,visual interest,engagement,positive,201312_114.37249116294527_22.720139972827667.png,engagement
road,boredom,disengagement,negative,201312_114.37249116294527_22.720139972827667.png,disengagement
buildings,lack of captivation,inattention,negative,201312_114.37249116294527_22.720139972827667.png,inattention
greenery,visual interest,engagement with nature,positive,201312_114.38311694003148_22.759337400803414.png,exploration of nature
highway,boredom,distraction from surroundings,negative,201312_114.38311694003148_22.759337400803414.png,distract focus
sea,draws attention,exploration,positive,201312_114.38751719988959_22.614756043802693.png,exploration
mountains,awe-inspiring,admiration,positive,201312_114.38751719988959_22.614756043802693.png,appreciation for aesthetics
bridge,intrigued,curiosity,positive,201312_114.38751719988959_22.614756043802693.png,curiosity
highway,not fascinating,disengagement,negative,201312_114.38751719988959_22.614756043802693.png,disengagement
traffic,frustration,avoidance,negative,201312_114.38751719988959_22.614756043802693.png,avoidance
trees,visual interest,increased attention,positive,201312_114.3839314_22.616090400000004.png,increased attention
buildings,visual interest,increased attention,positive,201312_114.3839314_22.616090400000004.png,increased attention
sky,visual interest,increased attention,positive,201312_114.3839314_22.616090400000004.png,increased attention
infrastructure,limited captivating quality,decreased immersion,negative,201312_114.3839314_22.616090400000004.png,reduced engagement
car,less immersive experience,decreased appreciation of nature,negative,201312_114.3839314_22.616090400000004.png,minimal fascination
shop,limited fascination,escape boredom,negative,201312_114.3844879049078_22.694927737925436.png,avoid engagement
architecture,lack of interest,avoid engagement,negative,201312_114.3844879049078_22.694927737925436.png,disengage
poles,dull environment,disengage,negative,201312_114.3844879049078_22.694927737925436.png,minimal engagement
wires,monotony,seek stimulation elsewhere,negative,201312_114.3844879049078_22.694927737925436.png,distraction from environment
road,limited engagement,difficulty in being captivated,negative,201312_114.3907674_22.715154400000003.png,lack of wonder
buildings,functional impression,lack of interest,negative,201312_114.3907674_22.715154400000003.png,lack of interest
trucks,visual monotony,hard to be bored,neutral,201312_114.3907674_22.715154400000003.png,hard to be bored
trees,moderate engagement,attention capture,neutral,201312_114.38093593859112_22.72336363860997.png,hold attention
vehicles,functional impression,transit activity,negative,201312_114.38093593859112_22.72336363860997.png,movement across space
construction,visual interest,curiosity,neutral,201312_114.38093593859112_22.72336363860997.png,curiosity
highway,lack of engagement,transit focus,negative,201312_114.39662752429521_22.66077937955246.png,navigation behavior
trees,slight interest,brief observation,neutral,201312_114.39662752429521_22.66077937955246.png,brief observation
guardrails,restrictive feeling,limited exploration,negative,201312_114.39662752429521_22.66077937955246.png,limited exploration
vehicles,functional awareness,continued movement,neutral,201312_114.39662752429521_22.66077937955246.png,movement across space
